person,analysed_phon_form,paradigm_tag,morphanalysis_tag,order_tag
FUT.AFF,,,,
1SG,Σ + v a ⁵ ŋ + k i ⁵ + t e ¹,default,,
1SG,Σ + v a ⁵ ŋ + g e ⁵ + t e ¹,,morphophon,
1PLE,Σ + v a ⁵ ŋ + k i ⁵ ŋ + t e ¹,default,,
1PLE,Σ + v a ⁵ ŋ + k i ⁵ n + t e ¹,,morphophon,
1PLE,Σ + v a ⁵ ŋ + g i ⁵ n + t e ¹,,morphophon,
1PLE,Σ + v a ⁵ ŋ + g i ⁵ ŋ + t e ¹,,morphophon,
1PLI,Σ + v a ⁵ + t e ⁵ + r + ʉ ¹,hort,,
2SG,Σ + v a ⁵ ŋ + n a ⁵ + t e ¹,default,,
2PL,Σ + v a ⁵ ŋ + n i ⁵ ŋ + t e ¹,default,,
2PL,Σ + v a ⁵ ŋ + n i ⁵ n + t e ¹,,morphophon,
3SG,Σ + v a ⁵ + t e ¹,default,,
3PL,Σ + v a ⁵ + t e ⁵ + h e ¹,default,,
FUT.NEG,,,,
1SG,Σ + m aa ⁵ + n i ⁵ + ŋ,,tone_alt_stem,
1SG,Σ + m aa ¹ + n i ⁵ + ŋ,default,,
1PLE,Σ + m aa ⁵ + n + u ⁵ + ŋ,,tone_alt_stem,
1PLI,Σ + m aa ⁵ + m e ⁵ + n ɘ ⁵,,tone_alt_stem,
1PLE,Σ + m aa ¹ + n + u ⁵ + ŋ,default,,
1PLI,Σ + m aa ¹ + m e ⁵ + n ɘ ⁵,default,,
2SG,Σ + m aa ⁵ + t e ⁵ + n ɘ ⁵,,tone_alt_stem,
2SG,Σ + m aa ¹ + t e ⁵ + n ɘ ⁵,default,,
2PL,Σ + m aa ⁵ + t e ⁵ + n + ʉ ⁵,,tone_alt_stem,
2PL,Σ + m aa ¹ + t e ⁵ + n + ʉ ⁵,default,,
3SG,Σ + m aa ⁵ + n ɘ ⁵,,tone_alt_stem,
3SG,Σ + m aa ¹ + n ɘ ⁵,default,,
3PL,Σ + m aa ⁵ + h e ⁵ + n ɘ ⁵,,tone_alt_stem,
3PL,Σ + m aa ¹ + h e ⁵ + n ɘ ⁵,default,,
NFUT.AFF,,,,
1SG,Σ + n i ⁵ + ŋ,,tone_alt_stem,
1SG,Σ + n i ¹ + ŋ,default,,
1PLE,Σ + n + u ⁵ + ŋ,,tone_alt_stem,
1PLE,Σ + n + u ¹ + ŋ,default,,
1PLI,Σ + m e ⁵ + n ɘ ¹,default,,
2SG,Σ + n e ⁵ + tʃ ɘ ¹,default,,
2PL,Σ + n e ⁵ + tʃ + ʉ ¹,default,,
3SG,Σ + n e ⁵,,tone_alt_stem,
3SG,Σ + n e ¹,default,,
3PL,Σ + n e ⁵ + h e ¹,default,,
3PL,Σ + h e ⁵ + n e ⁵,,,variable_order
NFUT.NEG,,,,
1SG,Σ + m aa ⁵ + ŋ,,tone_alt_stem,
1SG,Σ + m aa ¹⁵ + ŋ,default,,
1PLE,Σ + m a ⁵ + u ⁵ + ŋ,,tone_alt_stem,
1PLI,Σ + m aa ⁵ + m ɘ ⁵,,tone_alt_stem,
1PLE,Σ + m a ¹ + u ⁵ + ŋ,default,,
1PLI,Σ + m aa ¹ + m ɘ ⁵,default,,
2SG,Σ + m aa ⁵ + tʃ ɘ ⁵,,tone_alt_stem,
2SG,Σ + m aa ¹ + tʃ ɘ ⁵,default,,
2PL,Σ + m aa ⁵ + tʃ + ʉ ⁵,,tone_alt_stem,
2PL,Σ + m aa ¹ + tʃ + ʉ ⁵,default,,
3SG,Σ + m a ⁵ ʔ,,tone_alt_stem,
3SG,Σ + m a ¹ ʔ,default,,
3PL,Σ + m aa ⁵ + h e ⁵,,tone_alt_stem,
3PL,Σ + m aa ¹ + h e ⁵,default,,
