form_id,lexeme,cell,source_form,orth_form,phon_form,analysed_orth_form,analysed_phon_form,paradigm_tag,morphanalysis_tag,overabundance_tag,order_tag,source,page,language_id
monsang001,no_stem,1.sg,kɘ́,kɘ́,k ɘ ⁵,kɘ́,k ɘ ⁵,default,,,,Konnerth2025Monsang,1,monsang
monsang002,no_stem,1.pl.excl,kín-n-ʷú,kínnʷú,k i ⁵ n n ʉ ⁵,kín+n+ʷú,k i ⁵ n + n + ʉ ⁵,default,,,,Konnerth2025Monsang,1,monsang
monsang003,no_stem,1.pl.incl,ì-n-ʷù,ìnʷù,i ¹ n ʉ ¹,ì+n+ʷù,i ¹ + n + ʉ ¹,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang004,no_stem,1.pl.incl,í-n-ʷú,ínʷú,i ⁵ n ʉ ⁵,í+n+ʷú,i ⁵ + n + ʉ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang005,no_stem,1.pl.incl,í-nɘ́,ínɘ́,i ⁵ n ɘ ⁵,í+nɘ́,i ⁵ + n ɘ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang006,no_stem,1.pl.incl,ì-nɘ̀,ìnɘ̀,i ¹ n ɘ ¹,ì+nɘ̀,i ¹ + n ɘ ¹,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang007,no_stem,1.pl.incl,ń̩-n-ʷú,ń̩nʷú,n̩ ⁵ n ʉ ⁵,ń̩+n+ʷú,n̩ ⁵ + n + ʉ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang008,no_stem,2.sg,náŋ,náŋ,n a ⁵ ŋ,náŋ,n a ⁵ ŋ,default,,,,Konnerth2025Monsang,1,monsang
monsang009,no_stem,2.pl,nín-n-ʷú,nínnʷú,n i ⁵ n n ʉ ⁵,nín+n+ʷú,n i ⁵ n + n + ʉ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang010,no_stem,2.pl,níŋ-n-ʷú,níŋnʷú,n i ⁵ ŋ n ʉ ⁵,níŋ+n+ʷú,n i ⁵ ŋ + n + ʉ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang011,no_stem,3.sg,á-má,ámá,a ⁵ m a ⁵,á+má,a ⁵ + m a ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang012,no_stem,3.sg,á-mà,ámà,a ⁵ m a ¹,á+mà,a ⁵ + m a ¹,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang013,no_stem,3.pl,í-nʷú,ínʷú,i ⁵ n ʉ ⁵,í+nʷú,i ⁵ + n ʉ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang014,no_stem,3.pl,ḿ̩-mé-nɘ̀,ḿ̩ménɘ̀,m̩ ⁵ m e ⁵ n ɘ ¹,ḿ̩+mé+nɘ̀,m̩ ⁵ + m e ⁵ + n ɘ ¹,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang015,no_stem,3.pl,ḿ̩-mé-nɘ́,ḿ̩ménɘ́,m̩ ⁵ m e ⁵ n ɘ ⁵,ḿ̩+mé+nɘ́,m̩ ⁵ + m e ⁵ + n ɘ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang016,no_stem,3.pl,ń̩-nʷú,ń̩nʷú,n̩ ⁵ n ʉ ⁵,ń̩+nʷú,n̩ ⁵ + n ʉ ⁵,unspec_var,,,,Konnerth2025Monsang,1,monsang
monsang017,si,1.sg.fut.aff,sí-váŋ-kí-tè,Σváŋkítè,Σ v a ⁵ ŋ k i ⁵ t e ¹,Σ+váŋ+kí+tè,Σ + v a ⁵ ŋ + k i ⁵ + t e ¹,default,,,,Konnerth2025Monsang,nopage,monsang
monsang018,si,1.sg.fut.aff,sí-váŋ-gé-tè,Σváŋgétè,Σ v a ⁵ ŋ g e ⁵ t e ¹,Σ+váŋ+gé+tè,Σ + v a ⁵ ŋ + g e ⁵ + t e ¹,,morphophon,,,Konnerth2025Monsang,nopage,monsang
monsang019,si,1.pl.excl.fut.aff,sí-váŋ-kíŋ-tè,Σváŋkíŋtè,Σ v a ⁵ ŋ k i ⁵ ŋ t e ¹,Σ+váŋ+kíŋ+tè,Σ + v a ⁵ ŋ + k i ⁵ ŋ + t e ¹,default,,,,Konnerth2025Monsang,nopage,monsang
monsang020,si,1.pl.excl.fut.aff,sí-váŋ-kín-tè,Σváŋkíntè,Σ v a ⁵ ŋ k i ⁵ n t e ¹,Σ+váŋ+kín+tè,Σ + v a ⁵ ŋ + k i ⁵ n + t e ¹,,morphophon,,,Konnerth2025Monsang,nopage,monsang
monsang021,si,1.pl.excl.fut.aff,sí-váŋ-gín-tè,Σváŋgíntè,Σ v a ⁵ ŋ g i ⁵ n t e ¹,Σ+váŋ+gín+tè,Σ + v a ⁵ ŋ + g i ⁵ n + t e ¹,,morphophon,,,Konnerth2025Monsang,nopage,monsang
monsang022,si,1.pl.excl.fut.aff,sí-váŋ-gíŋ-tè,Σváŋgíŋtè,Σ v a ⁵ ŋ g i ⁵ ŋ t e ¹,Σ+váŋ+gíŋ+tè,Σ + v a ⁵ ŋ + g i ⁵ ŋ + t e ¹,,morphophon,,,Konnerth2025Monsang,nopage,monsang
monsang023,si,1.pl.incl.fut.aff,sí-vá-té-r-ʷù,Σvátérʷù,Σ v a ⁵ t e ⁵ r ʉ ¹,Σ+vá+té+r+ʷù,Σ + v a ⁵ + t e ⁵ + r + ʉ ¹,hort,,,,Konnerth2025Monsang,nopage,monsang
monsang024,mu,1.sg.2.sg.fut.aff,m̥ú-váŋ-ké-tʃɘ̀,Σváŋkétʃɘ̀,Σ v a ⁵ ŋ k e ⁵ tʃ ɘ ¹,Σ+váŋ+ké+tʃɘ̀,Σ + v a ⁵ ŋ + k e ⁵ + tʃ ɘ ¹,default,,,,Konnerth2025Monsang,nopage,monsang
monsang025,mu,1.sg.2.sg.fut.aff,m̥ú-váŋ-kí-té-ké-tʃɘ̀,Σváŋkítékétʃɘ̀,Σ v a ⁵ ŋ k i ⁵ t e ⁵ k e ⁵ tʃ ɘ ¹,Σ+váŋ+kí+té+ké+tʃɘ̀,Σ + v a ⁵ ŋ + k i ⁵ + t e ⁵ + k e ⁵ + tʃ ɘ ¹,pragm_marked,,,,Konnerth2025Monsang,nopage,monsang
monsang026,mu,1.sg.2.sg.fut.aff,m̥ú-váŋ-gé-té-gé-tʃɘ̀,Σváŋgétégétʃɘ̀,Σ v a ⁵ ŋ g e ⁵ t e ⁵ g e ⁵ tʃ ɘ ¹,Σ+váŋ+gé+té+gé+tʃɘ̀,Σ + v a ⁵ ŋ + g e ⁵ + t e ⁵ + g e ⁵ + tʃ ɘ ¹,pragm_marked,morphophon,,,Konnerth2025Monsang,nopage,monsang
monsang027,mu,1.sg.2.sg.fut.aff,m̥ú-váŋ-gé-tʃɘ̀,Σváŋgétʃɘ̀,Σ v a ⁵ ŋ g e ⁵ tʃ ɘ ¹,Σ+váŋ+gé+tʃɘ̀,Σ + v a ⁵ ŋ + g e ⁵ + tʃ ɘ ¹,,morphophon,,,Konnerth2025Monsang,nopage,monsang
monsang028,mu,1.sg.2.pl.fut.aff,m̥ú-váŋ-ké-tʃ-ʷù,Σváŋkétʃʷù,Σ v a ⁵ ŋ k e ⁵ tʃ ʉ ¹,Σ+váŋ+ké+tʃ+ʷù,Σ + v a ⁵ ŋ + k e ⁵ + tʃ + ʉ ¹,default,,,,Konnerth2025Monsang,nopage,monsang
monsang029,mu,1.sg.2.pl.fut.aff,m̥ú-váŋ-kí-té-ké-tʃ-ʷù,Σváŋkítékétʃʷù,Σ v a ⁵ ŋ k i ⁵ t e ⁵ k e ⁵ tʃ ʉ ¹,Σ+váŋ+kí+té+ké+tʃ+ʷù,Σ + v a ⁵ ŋ + k i ⁵ + t e ⁵ + k e ⁵ + tʃ + ʉ ¹,pragm_marked,,,,Konnerth2025Monsang,nopage,monsang
