morph_id,morph,position,in_cells,in_forms,language_id
monsangM01,a ⁵,free,3.sg; 3.sg,monsang011; monsang012,monsang
monsangM02,a ⁵,pre,3.sg.3.sg.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff,monsang254; monsang255; monsang258; monsang262,monsang
monsangM03,g e ⁵,post,1.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.sg.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.2.pl.fut.aff; 1.sg.3.sg.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff,monsang018; monsang026; monsang027; monsang030; monsang031; monsang045; monsang048; monsang049,monsang
monsangM04,g i ⁵ n,post,1.pl.excl.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.sg.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.2.pl.fut.aff; 1.pl.excl.3.sg.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff,monsang021; monsang034; monsang036; monsang038; monsang039; monsang041; monsang043; monsang051; monsang056; monsang057,monsang
monsangM05,g i ⁵ ŋ,post,1.pl.excl.fut.aff,monsang022,monsang
monsangM06,h,post,1.pl.excl.3.pl.nfut.neg; 1.pl.excl.3.pl.nfut.neg,monsang286; monsang292,monsang
monsangM07,h e ¹,post,3.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.3.pl.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 1.pl.incl.3.pl.nfut.aff; 1.pl.excl.3.pl.nfut.aff; 2.sg.3.pl.nfut.aff; 2.pl.3.pl.nfut.aff; 3.pl.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.sg.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.1.pl.excl.nfut.aff; 3.pl.1.pl.incl.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.sg.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.2.pl.nfut.aff; 3.pl.2.pl.nfut.aff; 3.sg.3.pl.nfut.aff; 3.pl.3.sg.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff; 3.pl.3.pl.nfut.aff,monsang080; monsang084; monsang086; monsang088; monsang092; monsang094; monsang097; monsang099; monsang101; monsang190; monsang195; monsang196; monsang197; monsang198; monsang217; monsang219; monsang222; monsang233; monsang234; monsang235; monsang236; monsang237; monsang238; monsang239; monsang240; monsang241; monsang248; monsang249; monsang250; monsang251; monsang252; monsang253; monsang255; monsang258; monsang260; monsang261; monsang262; monsang263,monsang
monsangM08,h e ⁵,post,1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.sg.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.excl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 1.pl.incl.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.sg.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 2.pl.3.pl.fut.aff; 3.pl.1.sg.fut.aff; 3.pl.1.pl.excl.fut.aff; 3.pl.1.pl.incl.fut.aff; 3.pl.2.sg.fut.aff; 3.pl.2.pl.fut.aff; 3.sg.3.pl.fut.aff; 3.pl.3.sg.fut.aff; 3.pl.3.pl.fut.aff; 1.sg.3.pl.fut.neg; 1.sg.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 1.pl.excl.3.pl.fut.neg; 1.pl.incl.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.sg.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 2.pl.3.pl.fut.neg; 3.pl.fut.neg; 3.pl.fut.neg; 3.pl.1.sg.fut.neg; 3.pl.1.pl.excl.fut.neg; 3.pl.1.pl.incl.fut.neg; 3.pl.2.sg.fut.neg; 3.pl.2.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.sg.3.pl.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.sg.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.3.pl.fut.neg; 3.pl.nfut.aff; 1.sg.3.pl.nfut.neg; 1.sg.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.sg.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 2.pl.3.pl.nfut.neg; 3.pl.nfut.neg; 3.pl.nfut.neg; 3.pl.1.sg.nfut.neg; 3.pl.1.pl.excl.nfut.neg; 3.pl.1.pl.incl.nfut.neg; 3.pl.2.sg.nfut.neg; 3.pl.2.pl.nfut.neg; 3.sg.3.pl.nfut.neg; 3.sg.3.pl.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.sg.nfut.neg; 3.pl.3.pl.nfut.neg; 3.pl.3.pl.nfut.neg,monsang046; monsang047; monsang048; monsang049; monsang054; monsang055; monsang056; monsang057; monsang058; monsang059; monsang071; monsang072; monsang075; monsang076; monsang077; monsang078; monsang085; monsang087; monsang089; monsang093; monsang095; monsang098; monsang100; monsang102; monsang112; monsang114; monsang129; monsang131; monsang133; monsang136; monsang147; monsang148; monsang151; monsang152; monsang155; monsang156; monsang161; monsang162; monsang163; monsang166; monsang167; monsang170; monsang171; monsang172; monsang173; monsang174; monsang175; monsang223; monsang280; monsang281; monsang289; monsang294; monsang307; monsang308; monsang311; monsang313; monsang317; monsang318; monsang322; monsang323; monsang324; monsang327; monsang328; monsang331; monsang332; monsang333; monsang334; monsang335; monsang336,monsang
monsangM09,h ɘ ⁵,post,1.pl.incl.3.pl.nfut.neg; 1.pl.incl.3.pl.nfut.neg,monsang288; monsang293,monsang
monsangM10,i ¹,free,1.pl.incl; 1.pl.incl,monsang003; monsang006,monsang
